seed,class_name,n,mean_divergence,sd_divergence
61,Retroposon,1588,163.0,93.85945331893839
61,SINE,431430,177.85524418793315,85.43195185997273
62,DNA,117399,228.58435761803764,62.862775569683365
62,LINE,312852,232.05172733433062,84.9138557580489
62,LTR,139849,205.53596378951585,71.66559539985933
62,RC,514,272.13813229571986,44.20823542058598
62,Retroposon,1655,170.0441087613293,96.60133849085024
62,SINE,430329,177.96281914535157,85.29464379863573
63,DNA,117933,227.67501886664462,62.97322701250944
63,LINE,313542,231.68732099686804,85.14631995618129
63,LTR,138688,205.48395679510844,71.6583700607844
63,RC,498,269.6004016064257,45.00467356185348
63,Retroposon,1652,164.3044794188862,95.60803204267317
63,SINE,430008,178.0148648397239,85.466010263739
64,DNA,117333,227.99236361466936,62.8877625386199
64,LINE,314686,231.58533268083104,85.06898264964869
64,LTR,139625,205.71299552372426,71.88504240976239
64,RC,452,266.7787610619469,44.65665168883526
64,Retroposon,1593,161.63653483992468,95.33209062993767
64,SINE,430417,177.73715025196495,85.37124546452371
65,DNA,117935,227.67666935176157,63.12245656226414
65,LINE,312919,231.6353688973824,85.1479497150497
65,LTR,138682,205.7177860140465,71.65394456252328
65,RC,516,271.7751937984496,41.23514349521497
65,Retroposon,1578,169.4828897338403,97.98090279131708
65,SINE,429949,177.82489783672017,85.25101432856678
66,DNA,118092,228.29394031771838,62.84556473186409
66,LINE,313515,231.6006443072899,85.07934380389388
66,LTR,139577,205.76816380922358,71.84972367646843
66,RC,478,273.64853556485355,36.9482549504105
66,Retroposon,1696,162.9498820754717,96.0183893672676
66,SINE,429656,177.28682248124082,85.16925179586259
67,DNA,117802,228.18703417599022,62.867688113125006
67,LINE,313565,231.81896257554254,84.8599469387614
67,LTR,139369,205.8645394599947,71.34109207510065
67,RC,503,268.3558648111332,45.58930022088335
67,Retroposon,1608,167.37748756218906,96.74263140930225
67,SINE,430581,177.8322336563852,85.31640516145515
68,DNA,118211,228.05987598446845,62.779430601900856
68,LINE,313944,231.70069821369415,84.86822822552753
68,LTR,138321,205.6318852524201,71.72898843963311
68,RC,475,270.6905263157895,41.59138340338299
68,Retroposon,1648,168.62196601941747,97.30881643180165
68,SINE,428651,177.78370982454257,85.36513644455209
